report_t_s,t,IAS_kmh,Glide_ratio_GNSS,pitch,vario
35.081222028684415,438.59,27.012433361740086,1.4932741500963584,-12,-4.47
35.23113710015506,438.74,28.74944542499729,1.5154856887120582,-15,-4.49
35.46100687641002,438.97,31.30836386589346,1.562295450466797,-19,-4.7
35.6409049621747,439.15,32.75970607067064,1.626637877829171,-20,-5.12
35.86078040033162,439.37,34.28152876237748,1.7173305458244266,-21,-5.69
36.08065583848849,439.59,36.31218276759108,1.8329136864469868,-20,-6.13
36.240565248057166,439.75,38.201349612872285,1.9847010371037581,-19,-6.19
36.46044068621409,439.97,41.770258130465436,2.184755635767167,-16,-5.86
36.640338771978776,440.15,44.17450755070099,2.4422316386765894,-13,-5.24
36.87020854823373,440.38,44.98564822160916,2.788472731894196,-10,-4.3
37.09008398639065,440.6,45.11464986734421,3.238590163168986,-5,-3.31
37.26998207215534,440.78,44.58192270004349,3.8591610024449077,-2,-2.65
37.459874496018166,440.97,44.62535371151192,4.725159701031027,2,-1.99
37.64976691988094,441.16,44.02808849508018,6.062523595957519,5,-1.31
37.849653681841744,441.36,42.18558669130721,8.321829080442814,9,-0.63
38.08951779619473,441.6,40.895391374998304,12.833935520990968,13,0.07
38.24942720576335,441.76,40.082026864306904,25.117365834704003,14,0.41
38.44931396772415,441.96,38.85498451201044,,16,0.68
38.64920072968501,442.16,39.185952879331964,,17,0.85
38.84908749164582,442.36,38.218249126909654,,18,0.92
39.0889516059988,442.6,36.63087210013334,,19,0.92
39.24886101556742,442.76,35.026866510594694,,19,0.88
39.448747777528226,442.96,34.31918009581492,,19,0.79
39.64863453948909,443.16,34.05474658995604,,18,0.61
39.84852130144989,443.36,33.014954867422716,,17,0.37
40.088385415802875,443.6,30.830345507010335,,14,-0.02
40.25828916346953,443.77,29.95931552513665,,12,-0.33
40.4481815873323,443.96,29.15093112945598,23.77734918964243,8,-0.71
40.64806834929316,444.16,28.681984763959413,11.732124627923271,5,-1.11
40.84795511125397,444.36,28.182339509062793,7.620100576998968,1,-1.52
41.067830549410836,444.58,28.659462589489834,5.609494439530278,-3,-1.93
41.24772863517557,444.76,29.56880811370837,4.453006706088136,-6,-2.24
41.45760973523446,444.97,30.577978270350716,3.7413062767781784,-9,-2.6
41.63750782099915,445.15,31.758867072915276,3.278132860706976,-12,-2.93
41.83739458296001,445.35,32.56199934003451,2.9838143625676246,-14,-3.25
42.07725869731294,445.59,33.24882996253478,2.8028507718184836,-16,-3.65
42.24716244497965,445.76,33.940787274551056,2.7034148962864855,-16,-3.93
42.44704920694045,445.96,35.155676015722534,2.672017498781434,-16,-4.11
42.64693596890131,446.16,36.38324385858783,2.7022020031830967,-15,-4.14
42.846822730862115,446.36,38.3531771692984,2.786567202517151,-15,-3.99
43.066698169018984,446.58,40.895391374998304,2.9247869187361077,-13,-3.73
43.23660191668569,446.75,42.8537945120573,3.1359757667502586,-12,-3.46
43.43648867864649,446.95,44.58192270004349,3.419491585769691,-10,-3.15
43.646369778705385,447.16,45.499460357867356,3.7940570866961014,-8,-2.72
43.83626220256816,447.35,46.34315632059497,4.280576068337456,-4,-2.21
44.08612065501918,447.6,46.55169115058648,4.9252300657195525,-1,-1.58
44.2460300645878,447.76,46.161664123966304,5.780600296092782,1,-1.19
44.43592248845057,447.95,45.88104350449349,6.961538272026493,3,-0.74
44.63580925041137,448.15,45.55619287411617,8.620600895996585,5,-0.32
44.83569601237223,448.35,45.229009112583064,11.015464401144445,7,0.04
45.0555714505291,448.57,45.0430278982763,14.670827802519193,9,0.37
45.23546953629384,448.75,44.276712794858284,20.098843108040306,10,0.51
45.435356298254646,448.95,42.97417057646015,28.760734275943854,11,0.56
45.64523739831353,449.16,41.05298498928686,,11,0.49
45.84512416027434,449.36,37.94695377787798,,12,0.35
46.08498827462733,449.6,34.860554941313346,,12,0.15
46.24489768419595,449.76,33.654200771847734,,12,0.0
46.43479010805872,449.95,32.66100230287753,,12,-0.25
46.65466554621564,450.17,31.30836386589346,35.77116235539361,10,-0.6
46.83456363198038,450.35,30.19547286651847,24.80987893957166,9,-0.89
47.06443340823528,450.58,29.28353650439239,18.167786810433654,7,-1.26
47.23433715590199,450.75,28.928571428571427,14.098169760964407,6,-1.53
47.42422957976476,450.94,28.478643985718595,11.410746265536895,5,-1.75
47.64410501792169,451.16,28.681984763959413,9.59955323739215,2,-1.99
47.84399177988249,451.36,28.90624138168652,8.357415306466025,1,-2.18
48.063867218039356,451.58,29.15093112945598,7.47353044384684,-1,-2.27
48.243765303804096,451.76,29.612452134677596,6.871324140821753,-2,-2.25
