report_t_s,t,IAS_kmh,pitch,roll,GNSS_alt,GNSS_vz_ms,Glide_ratio_GNSS
14.374401755942305,632.4,25.283784732673293,1,7,552.13,-2.8557142857142708,2.217012081152136
14.564398553699705,632.59,25.789510504094807,1,7,551.52,-2.9405357142856587,2.162455805607177
14.75439535145699,632.78,26.310062481018587,2,8,550.93,-3.0255263157894774,2.109338138849033
15.014390969440717,633.04,27.13169413307271,2,9,550.27,-3.1283119658119176,2.056128952888826
15.1643884413545,633.19,27.509854449573787,1,9,549.58,-3.12572222222218,2.0113644655485476
15.36438507057269,633.39,28.02149320847576,-2,4,548.95,-3.14377380952385,1.9628677402790118
15.574381531251897,633.6,28.501309046198887,-1,0,548.29,-3.207330827067608,1.906360530490665
15.764378329009181,633.79,28.090540113667288,-2,-1,547.66,-3.254450549450553,1.8416034841494926
15.994374452610197,634.02,26.456910481855164,-2,-7,547.06,-3.327984615384594,1.7629049990560404
16.17437141890669,634.2,19.04989755717273,3,-9,546.45,-3.424250000000029,1.6737751757453445
16.384367879585785,634.41,11.19245486559438,5,-11,545.81,-3.5723809523810246,1.5626086773149943
16.56436484588228,634.59,6.428571428571428,8,-10,545.11,-3.718095238095316,1.4455433453406148
16.774361306561374,634.8,3.936679943758678,7,-10,544.36,-3.9112065217391887,1.3301359232025103
17.024357093084195,635.05,3.936679943758678,5,-12,543.57,-4.074551282051118,1.2129747188358229
17.17435456499798,635.2,3.4092648378637107,2,-14,542.7,-4.446666666666658,1.0937442769918613
17.37435119421617,635.4,5.567306167185676,-2,-16,541.79,-4.675238095238058,0.9801659526291441
17.584347654895378,635.61,4.821428571428571,-6,-17,540.79,-4.839285714285722,0.8791473385507993
17.784344284113565,635.81,4.097426394851344,-8,-16,539.76,-5.099408333333315,0.7824196788127842
18.044339902097406,636.07,4.545686450484948,-4,-17,538.73,-5.366000000000099,0.6959534901213612
18.164337879628363,636.19,4.097426394851344,-2,-17,537.61,-5.513999999999953,0.6193720211552622
18.374334340307456,636.4,2.272843225242474,1,-17,536.49,-5.639999999999986,0.5560568832075024
18.584330800986663,636.61,2.272843225242474,2,-14,535.36,-5.7549999999999955,0.5030507745269479
18.77432759874395,636.8,1.607142857142857,1,-11,534.18,-5.9007499999999595,0.4603335715593735
19.01432355380587,637.04,3.214285714285714,1,-8,532.97,-6.043423076923261,0.42259585217961804
19.16432102571965,637.19,2.272843225242474,0,-6,531.73,-6.0893333333334,0.39501571031925337
19.374317486398745,637.4,2.272843225242474,-2,-3,530.51,-6.208333333333371,0.3793908817775347
19.584313947077952,637.61,2.5411159769210188,-4,1,529.28,-6.319999999999993,0.3704551609403561
19.774310744835237,637.8,1.136421612621237,-5,2,528.01,-6.34499999999997,0.37331016843996623
20.02430653135806,638.05,3.214285714285714,-3,2,526.71,-6.333666666666716,0.38511877934582117
20.174304003271843,638.2,1.136421612621237,-3,3,525.34,-6.330639880952447,0.405280993198228
20.384300463950936,638.41,2.272843225242474,-3,4,524.01,-6.435714285714312,0.43387549820346444
20.58429709316924,638.61,1.607142857142857,-7,5,522.72,-6.595238095238074,0.471808068163828
20.774293890926526,638.8,3.006688971514774,-10,6,521.49,-6.629761904761949,0.5184294141848292
21.02428967744935,639.05,6.528245146582468,-14,6,520.22,-6.86533333333324,0.5822590012093248
21.184286980824037,639.21,5.450086593582804,-16,7,518.93,-7.001060606060605,0.6543361099571491
21.384283610042225,639.41,3.214285714285714,-18,11,517.58,-7.144999999999982,0.7339550691650885
21.574280407799623,639.6,2.783653083592838,-22,15,516.16,-7.367249999999984,0.8242264153537114
21.784276868478717,639.81,9.775868352264995,-25,14,514.68,-7.513399999999962,0.9301492311550198
22.014272992079732,640.04,30.344797910088005,-29,9,513.09,-7.5916000000000565,1.0558304724026337
22.164270463993518,640.19,36.507267937287466,-26,2,511.43,-7.609291666666593,1.2083255824108714
22.384266756133513,640.41,41.93996255582106,-21,-10,509.72,-7.325000000000017,1.3939960195405157
22.574263553890912,640.6,44.71208917471142,-16,-16,508.05,-6.929999999999978,1.6277790974691644
22.774260183109103,640.8,46.161664123966304,-11,-17,506.47,-6.330238095238059,1.928234736113571
23.024255969631923,641.05,48.107023544236384,-6,-14,505.03,-5.40002380952393,2.331750274702307
23.17425344154571,641.2,49.129702610248195,-3,-12,503.79,-4.37805944055944,2.9126982571863342
23.384249902224802,641.41,49.339547463242404,2,-9,502.93,-3.280000000000001,3.801522613480851
23.5742466999822,641.6,48.733808143038125,6,-8,502.3,-2.0999999999999943,5.30958414712201
23.77424332920039,641.8,47.458359836464496,10,-6,502.09,-0.9009615384615586,8.49426589314651
24.054238610106037,642.08,44.74096362988411,16,-3,502.19,0.3630000000004543,19.250503833822226
24.1842364190979,642.21,43.57106264483343,19,-1,502.63,1.1716666666666526,
24.38423304831609,642.41,41.30388410109556,23,1,503.16,1.9050000000000011,
24.57422984607349,642.6,38.70512543183238,26,4,503.85,2.5149999999999864,
24.764226643830774,642.79,36.73648751998648,28,5,504.64,2.8427500000000236,
25.0242222618145,643.05,33.46177952194877,29,7,505.37,3.023857142857139,
25.174219733728286,643.2,31.677433946400573,29,7,506.06,2.9166730769231037,
25.38421619440738,643.41,29.50322102788792,28,6,506.74,2.7122727272727047,
25.574212992164778,643.6,27.882886456442368,27,5,507.33,2.4034374999999955,
25.774209621382965,643.8,26.359102714591163,25,4,507.81,1.9722115384615506,
26.00420574498398,644.03,24.845825625654065,21,2,508.2,1.560076923076906,
26.204202374202286,644.23,23.345098467322423,17,0,508.47,0.996428571428595,
26.424198666342395,644.45,21.88902611551538,11,-2,508.61,0.43003759398476404,
26.58419596971697,644.61,20.95457915957994,7,-3,508.66,0.009904761904749648,
26.784192598935157,644.81,20.073207851994848,2,-4,508.61,-0.5468993135009725,18.686396429827376
27.03418838545798,645.06,19.617678668143448,-5,-5,508.41,-1.2334852941175143,7.3565498310450765
27.20418552029357,645.23,19.650566668881666,-10,-5,508.15,-1.7486363636363649,4.603787090228714
27.39418231805086,645.42,19.911715221477646,-15,-6,507.79,-2.1804545454545234,3.4211609657184936
27.604178778730063,645.63,20.073207851994848,-19,-5,507.33,-2.7285526315789355,2.8044449175509407
27.794175576487465,645.82,22.03603264414621,-22,-5,506.7,-3.1752307692309216,2.4528124199420613
28.00417203716656,646.03,24.610809907146784,-25,-4,505.92,-3.503153846153907,2.2570690994043567
28.17416917200215,646.2,26.383588649006786,-26,-3,505.09,-3.904941176470601,2.179348140699367
28.394165464142144,646.42,29.10659508687026,-26,-1,504.23,-4.223095238095198,2.167194918009188
28.584162261899547,646.61,31.697811841043602,-24,0,503.3,-4.37690476190474,2.205263429120507
28.77415905965683,646.8,34.45063571286324,-21,1,502.33,-4.453157894736989,2.3002171915981857
29.034154677640558,647.06,37.20804718754001,-17,3,501.31,-4.280431372549089,2.4475247542843253
29.18415214955434,647.21,38.521172617093555,-14,3,500.32,-4.12045454545455,2.645421452693929
